scam_report_no,scam_incident_date,scam_report_date,scam_type,scam_approach_platform,scam_communication_platform,scam_transaction_type,scam_beneficiary_platform,scam_beneficiary_identifier,scam_contact_no,scam_email,scam_moniker,scam_url_link,scam_amount_lost,scam_incident_description,scam_subcategory,scam_item_involved,scam_item_type,scam_impersonation_type,scam_first_impersonated_entity,scam_first_impersonated_entity_name,scam_second_impersonated_entity,scam_second_impersonated_entity_name,scam_phished_details,scam_use_of_phished_details,scam_pretext_for_phishing
D/20250421/2250,2025-04-20,2025-04-21,ECOMMERCE,LAZADA,LAZADA,BANK TRANSFER,HSBC,18196001,NA,NA,rebeccataylor,NA,184.79,"I came across a listing for a Taylor Swift concert ticket on Lazada, posted by someone using the moniker 'rebeccataylor'. I contacted the individual through Lazada to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $184.79 was made to HSBC account 18196001 on 2025-04-20.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
J/20250225/7733,2025-02-24,2025-02-25,ECOMMERCE,SHOPEE,WHATSAPP,BANK TRANSFER,GXS,63794026,NA,NA,daniel95,NA,242.92,"I came across a listing for abalones on Shopee, posted by someone using the moniker 'daniel95'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $242.92 was made to GXS account 63794026 on 2025-02-24.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
A/20250418/2104,2025-03-24,2025-04-18,ECOMMERCE,FACEBOOK,WHATSAPP,BANK TRANSFER,CITIBANK,15594078,NA,NA,johnsonkrista,NA,157.86,"I came across a listing for a Taylor Swift concert ticket on Facebook, posted by someone using the moniker 'johnsonkrista'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $157.86 was made to CITIBANK account 15594078 on 2025-03-24.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
J/20250729/2849,2025-07-11,2025-07-29,ECOMMERCE,SHOPEE,WHATSAPP,BANK TRANSFER,TRUST,59310341,NA,NA,morasierra,NA,148.22,"I came across a listing for a Taylor Swift concert ticket on Shopee, posted by someone using the moniker 'morasierra'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $148.22 was made to TRUST account 59310341 on 2025-07-11.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250312/2650,2025-03-03,2025-03-12,ECOMMERCE,LAZADA,TELEGRAM,BANK TRANSFER,HSBC,55341928,NA,NA,woodsandrea,NA,824.95,"I came across a listing for an Universal Studios Singapore attraction ticket on Lazada, posted by someone using the moniker 'woodsandrea'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $824.95 was made to HSBC account 55341928 on 2025-03-03.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
J/20250418/2947,2025-04-05,2025-04-18,ECOMMERCE,CAROUSELL,CAROUSELL,BANK TRANSFER,GXS,35030564,NA,NA,uperez,NA,687.51,"I came across a listing for an Universal Studios Singapore attraction ticket on Carousell, posted by someone using the moniker 'uperez'. I contacted the individual through Carousell to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $687.51 was made to GXS account 35030564 on 2025-04-05.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
J/20250415/2217,2025-03-17,2025-04-15,ECOMMERCE,CAROUSELL,WHATSAPP,BANK TRANSFER,CIMB,67242388,NA,NA,jonesscott,NA,142.04,"I came across a listing for abalones on Carousell, posted by someone using the moniker 'jonesscott'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $142.04 was made to CIMB account 67242388 on 2025-03-17.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,ABALONES,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
D/20250417/2370,2025-03-19,2025-04-17,ECOMMERCE,INSTAGRAM,WHATSAPP,BANK TRANSFER,HSBC,87101226,NA,NA,danielmann,NA,975.18,"I came across a listing for an Universal Studios Singapore attraction ticket on Instagram, posted by someone using the moniker 'danielmann'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $975.18 was made to HSBC account 87101226 on 2025-03-19.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250324/2541,2025-03-04,2025-03-24,ECOMMERCE,CAROUSELL,CAROUSELL,BANK TRANSFER,GXS,01845146,NA,NA,crystalbartlett,NA,266.41,"I came across a listing for durians on Carousell, posted by someone using the moniker 'crystalbartlett'. I contacted the individual through Carousell to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $266.41 was made to GXS account 01845146 on 2025-03-04.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,DURIANS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
A/20250620/7519,2025-06-03,2025-06-20,ECOMMERCE,SHOPEE,SHOPEE,BANK TRANSFER,MAYBANK,89325288,NA,NA,bmiddleton,NA,285.03,"I came across a listing for an Universal Studios Singapore attraction ticket on Shopee, posted by someone using the moniker 'bmiddleton'. I contacted the individual through Shopee to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $285.03 was made to MAYBANK account 89325288 on 2025-06-03.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
E/20250607/7951,2025-06-06,2025-06-07,ECOMMERCE,CAROUSELL,CAROUSELL,BANK TRANSFER,MAYBANK,30391171,NA,NA,mjones,NA,601.93,"I came across a listing for an Universal Studios Singapore attraction ticket on Carousell, posted by someone using the moniker 'mjones'. I contacted the individual through Carousell to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $601.93 was made to MAYBANK account 30391171 on 2025-06-06.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
G/20250716/2969,2025-06-24,2025-07-16,ECOMMERCE,LAZADA,TELEGRAM,BANK TRANSFER,HSBC,48963834,NA,NA,benjamin20,NA,182.13,"I came across a listing for crabs on Lazada, posted by someone using the moniker 'benjamin20'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $182.13 was made to HSBC account 48963834 on 2025-06-24.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,CRABS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
D/20250224/2123,2025-02-09,2025-02-24,ECOMMERCE,CAROUSELL,TELEGRAM,BANK TRANSFER,SCB,15098393,NA,NA,mortonjustin,NA,65.46,"I came across a listing for durians on Carousell, posted by someone using the moniker 'mortonjustin'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $65.46 was made to SCB account 15098393 on 2025-02-09.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,DURIANS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
A/20250322/7927,2025-03-14,2025-03-22,ECOMMERCE,CAROUSELL,WHATSAPP,BANK TRANSFER,BOC,18347382,NA,NA,carol58,NA,402.27,"I came across a listing for a Taylor Swift concert ticket on Carousell, posted by someone using the moniker 'carol58'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $402.27 was made to BOC account 18347382 on 2025-03-14.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
F/20250719/2826,2025-07-11,2025-07-19,ECOMMERCE,WHATSAPP,WHATSAPP,BANK TRANSFER,SCB,11656670,NA,NA,edward71,NA,243.58,"I came across a listing for an Universal Studios Singapore attraction ticket on WhatsApp, posted by someone using the moniker 'edward71'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $243.58 was made to SCB account 11656670 on 2025-07-11.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
