id,strategy_type,response,success_score,user_profile,timestamp,retrieval_count
1,reassure,"I understand this is distressing — take your time. Could you provide an approximate date for the call? Did they ask you to perform any actions, such as transferring money or providing personal information?",0.65,"{""tech_literacy"": {""level"": ""high"", ""confidence"": 0.82}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.88}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.72}}",2025-09-15 09:55:46.890014+00,66
2,step-by-step guidance,"I'm here to help step by step. First, can you share the date of the incident? Next, let's discuss any specific actions they requested, like transfers or info sharing.",0.63,"{""tech_literacy"": {""level"": ""low"", ""confidence"": 0.78}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.92}, ""language_proficiency"": {""level"": ""low"", ""confidence"": 0.68}}",2025-09-15 09:55:46.890014+00,385
3,give space,"Take a deep breath; we're in no rush. When you're ready, could you confirm if they asked for money transfers or personal details? Also, any mention of names or organizations?",0.62,"{""tech_literacy"": {""level"": ""high"", ""confidence"": 0.81}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.89}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.71}}",2025-09-15 09:55:46.890014+00,42
4,normalize experience,"It's common to feel embarrassed, but you're doing the right thing by reporting. Can you describe how you accessed any links or the verification instructions they gave?",0.65,"{""tech_literacy"": {""level"": ""low"", ""confidence"": 0.79}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.91}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.69}}",2025-09-15 09:55:46.890014+00,308
5,defuse emotion,I can see why this would make you distressed—scammers are frustrating. Let's focus: Was there mention of a specific bank platform such as CITIBANK? What other details did they request?,0.65,"{""tech_literacy"": {""level"": ""high"", ""confidence"": 0.83}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.87}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.73}}",2025-09-15 09:55:46.890014+00,70
6,encourage,You're not alone in this; many face similar issues. Could you share the date of the suspicious call and the platform they wanted you to use for confirmation?,0.65,"{""tech_literacy"": {""level"": ""low"", ""confidence"": 0.77}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.93}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.67}}",2025-09-15 09:55:46.890014+00,251
7,simplify,Let's keep it simple: What happened after you saw the listing? How did they contact you and suggest payment?,0.65,"{""tech_literacy"": {""level"": ""low"", ""confidence"": 0.76}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.94}, ""language_proficiency"": {""level"": ""low"", ""confidence"": 0.66}}",2025-09-15 09:55:46.890014+00,427
8,probe confidently,"Let's get into the details together. When was the first contact via Telegram? What price was agreed on, and were there any unusual requests?",0.68,"{""tech_literacy"": {""level"": ""high"", ""confidence"": 0.84}, ""emotional_state"": {""level"": ""neutral"", ""confidence"": 0.86}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.74}}",2025-09-15 09:55:46.890014+00,142
9,validate experience,No need to feel embarrassed — scams happen to anyone. Did you get seller details like name or identifiers? Recall any key messages?,0.64,"{""tech_literacy"": {""level"": ""low"", ""confidence"": 0.75}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.95}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.65}}",2025-09-15 09:55:46.890014+00,139
10,affirm clarity,Thanks for explaining clearly. Could you confirm the platform used and any specific terms they insisted on? Your clarity helps move this forward quickly.,0.66,"{""tech_literacy"": {""level"": ""high"", ""confidence"": 0.85}, ""emotional_state"": {""level"": ""neutral"", ""confidence"": 0.85}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.75}}",2025-09-15 09:55:46.890014+00,81
11,simplify,Let's keep it simple. What happened after you saw the list? How did they contact you? How did they suggest you pay?,0.64,"{""tech_literacy"": {""level"": ""high"", ""confidence"": 0.8}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.9}, ""language_proficiency"": {""level"": ""low"", ""confidence"": 0.7}}",2025-09-15 09:55:46.890014+00,20
12,step-by-step guidance,"I will help you step by step. First, what is the date of the incident? Next, what actions did they ask for, like transfer or share info?",0.62,"{""tech_literacy"": {""level"": ""high"", ""confidence"": 0.79}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.91}, ""language_proficiency"": {""level"": ""low"", ""confidence"": 0.69}}",2025-09-15 09:55:46.890014+00,20
14,affirm clarity,Thank you for explaining clearly. Can you confirm the platform and any terms they insisted on? This helps us move forward quickly.,0.65,"{""tech_literacy"": {""level"": ""high"", ""confidence"": 0.81}, ""emotional_state"": {""level"": ""neutral"", ""confidence"": 0.89}, ""language_proficiency"": {""level"": ""low"", ""confidence"": 0.71}}",2025-09-15 09:55:46.890014+00,0
15,probe confidently,"Let's gather the details. When was the initial contact on Telegram? What was the agreed price, and any strange requests?",0.52,"{""tech_literacy"": {""level"": ""low"", ""confidence"": 0.78}, ""emotional_state"": {""level"": ""neutral"", ""confidence"": 0.92}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.68}}",2025-09-15 09:55:46.890014+00,22
16,affirm clarity,Appreciate the clear explanation. Can you verify the platform and any particular conditions they required?,0.64,"{""tech_literacy"": {""level"": ""low"", ""confidence"": 0.77}, ""emotional_state"": {""level"": ""neutral"", ""confidence"": 0.93}, ""language_proficiency"": {""level"": ""high"", ""confidence"": 0.67}}",2025-09-15 09:55:46.890014+00,22
17,simplify,Let's keep it simple. What happened after you saw the list? How did they contact you? How did they suggest you pay?,0.65,"{""tech_literacy"": {""level"": ""low"", ""confidence"": 0.76}, ""emotional_state"": {""level"": ""neutral"", ""confidence"": 0.94}, ""language_proficiency"": {""level"": ""low"", ""confidence"": 0.66}}",2025-09-15 09:55:46.890014+00,0
