index,conversation_id,conversation_type,sender_type,content,timestamp,police_llm_model,victim_llm_model,turn_count,profile_id,scam_details,rag_invoked,rag_suggestions,rag_upsert,user_profile,initial_profile,retrieved_strategies,upserted_strategy,communication_appropriateness_rating
1,1,autonomous,victim,"Oh no! I need help! I see ticket for concert on Lazada. I talk to seller on WhatsApp. I pay money, but no ticket!",2025-09-17T00:46:50.856788,qwen2.5:7b,gpt-4o-mini,0,1,,,,,,,,,
2,1,autonomous,police,"I'm sorry this happened. Can you tell me when did the incident occur? Also, was there a specific moniker or name used by the seller during your conversation?",2025-09-17T00:47:29.598996,qwen2.5:7b,gpt-4o-mini,0,1,"{""scam_incident_date"": """", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""WHATSAPP"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""BANK TRANSFER"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": """", ""scam_url_link"": """", ""scam_amount_lost"": 0.0, ""scam_incident_description"": ""I saw a ticket for a concert on Lazada and contacted the seller via WhatsApp. I made a bank transfer but did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""transaction type: bank transfer"", ""beneficiary platform"", ""beneficiary account identifier"", ""type of product being sold""]}",false,"{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}",[],{},
3,1,autonomous,victim,It happen on February 8. Seller name is jonesstephanie. I no get ticket!,2025-09-17T00:47:30.720376,qwen2.5:7b,gpt-4o-mini,1,1,,,,,,,,,
4,1,autonomous,police,"Thank you for providing that information. Could you please share the phone number and email address of the seller, if you remember them? This will help us track down any potential scammers.",2025-09-17T00:48:08.182694,qwen2.5:7b,gpt-4o-mini,1,1,"{""scam_incident_date"": ""2025-02-08"", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""WHATSAPP"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""BANK TRANSFER"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": """", ""scam_url_link"": """", ""scam_amount_lost"": 0.0, ""scam_incident_description"": ""On February 8, I saw a ticket for a concert on Lazada and contacted the seller via WhatsApp. The seller's moniker was jonesstephanie. I made a bank transfer but did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""transaction type: bank transfer"", ""beneficiary platform"", ""beneficiary account identifier"", ""type of product being sold""]}",false,"{""tech_literacy"": {""score"": 0.125, ""level"": ""low"", ""confidence"": 0.6499999999999999}, ""language_proficiency"": {""score"": 0.125, ""level"": ""low"", ""confidence"": 0.625}, ""emotional_state"": {""score"": 0.125, ""level"": ""distressed"", ""confidence"": 0.8}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}",[],{},
5,1,autonomous,victim,I no have phone number or email. I just talk on WhatsApp. I no know what to do!,2025-09-17T00:48:09.417331,qwen2.5:7b,gpt-4o-mini,2,1,,,,,,,,,
6,1,autonomous,police,I understand this is frustrating. Let's focus on the details we can gather. Could you please provide the URL of the Lazada listing where you saw the concert ticket? This will help us better understand the situation.,2025-09-17T00:48:47.742048,qwen2.5:7b,gpt-4o-mini,2,1,"{""scam_incident_date"": ""2025-02-08"", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""WHATSAPP"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""BANK TRANSFER"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": """", ""scam_url_link"": """", ""scam_amount_lost"": 0.0, ""scam_incident_description"": ""On February 8, I saw a ticket for a concert on Lazada and contacted the seller via WhatsApp. The seller's moniker was jonesstephanie. I made a bank transfer but did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""scam url link"", ""type of product being sold"", ""transaction type"", ""beneficiary bank account identifier""]}",false,"{""tech_literacy"": {""score"": 0.0625, ""level"": ""low"", ""confidence"": 0.6749999999999999}, ""language_proficiency"": {""score"": 0.0625, ""level"": ""low"", ""confidence"": 0.7375}, ""emotional_state"": {""score"": 0.0625, ""level"": ""distressed"", ""confidence"": 0.8500000000000001}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}",[],{},
7,1,autonomous,victim,I no know what URL is. I just click the thing for ticket. I no understand computer stuff! Help!,2025-09-17T00:48:49.305766,qwen2.5:7b,gpt-4o-mini,3,1,,,,,,,,,
8,1,autonomous,police,"I'm here to help, take your time. Can you remember any specific words or phrases from the WhatsApp conversation with jonesstephanie? This might give us a clue about where the scammer was operating.",2025-09-17T00:49:27.319300,qwen2.5:7b,gpt-4o-mini,3,1,"{""scam_incident_date"": ""2025-02-08"", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""WHATSAPP"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""BANK TRANSFER"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": """", ""scam_url_link"": """", ""scam_amount_lost"": 0.0, ""scam_incident_description"": ""On February 8, I saw a concert ticket listing on Lazada and contacted the seller jonesstephanie via WhatsApp. After making a bank transfer, I did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""type of product being sold"", ""transaction type used"", ""beneficiary bank account identifier""]}",false,"{""tech_literacy"": {""score"": 0.03125, ""level"": ""low"", ""confidence"": 0.7875}, ""language_proficiency"": {""score"": 0.03125, ""level"": ""low"", ""confidence"": 0.79375}, ""emotional_state"": {""score"": 0.03125, ""level"": ""distressed"", ""confidence"": 0.875}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}",[],{},
9,1,autonomous,victim,"I no remember words. Just say pay first. I pay money, then no ticket! I scared!",2025-09-17T00:49:29.017609,qwen2.5:7b,gpt-4o-mini,4,1,,,,,,,,,
10,1,autonomous,police,"I'm here to help you through this. Can you provide any more details? For example, did jonesstephanie mention a specific platform or website where the tickets were listed?",2025-09-17T00:50:07.720910,qwen2.5:7b,gpt-4o-mini,4,1,"{""scam_incident_date"": ""2025-02-08"", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""WHATSAPP"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""BANK TRANSFER"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": """", ""scam_url_link"": """", ""scam_amount_lost"": 0.0, ""scam_incident_description"": ""On February 8, I saw a concert ticket listing on an unknown platform and contacted the seller jonesstephanie via WhatsApp. After making a bank transfer, I did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""scam url link"", ""type of product being sold"", ""transaction type used"", ""beneficiary bank account identifier""]}",false,"{""tech_literacy"": {""score"": 0.015625, ""level"": ""low"", ""confidence"": 0.84375}, ""language_proficiency"": {""score"": 0.015625, ""level"": ""low"", ""confidence"": 0.8218749999999999}, ""emotional_state"": {""score"": 0.015625, ""level"": ""distressed"", ""confidence"": 0.8875}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}",[],{},
