index,conversation_id,conversation_type,sender_type,content,timestamp,police_llm_model,victim_llm_model,turn_count,profile_id,scam_details,rag_invoked,rag_suggestions,rag_upsert,user_profile,initial_profile,retrieved_strategies,upserted_strategy,communication_appropriateness_rating
1,1,autonomous,victim,"Oh no! I need help! I see ticket for concert on Lazada. I talk to seller on WhatsApp. I pay money, but no ticket!",2025-09-17T19:35:52.394206,qwen2.5:7b,gpt-4o-mini,0,1,,,,,,,,,
2,1,autonomous,police,"I'm sorry this happened. Can you tell me when did the incident occur? Also, do you know the name or any alias of the person you communicated with?",2025-09-17T19:36:29.235514,qwen2.5:7b,gpt-4o-mini,0,1,"{""scam_incident_date"": """", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""LAZADA"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""bank transfer"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": """", ""scam_url_link"": """", ""scam_amount_lost"": 0.0, ""scam_incident_description"": ""I saw a ticket for a concert on Lazada and contacted the seller via WhatsApp. I made a bank transfer but did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""transaction type: bank transfer"", ""beneficiary platform"", ""beneficiary account identifier"", ""type of product being sold""]}",false,"{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}","[{""strategy_type"": ""simplify""}, {""strategy_type"": ""step-by-step guidance""}]",{},
3,1,autonomous,victim,It was on February 8. The seller name is jonesstephanie. I no get ticket!,2025-09-17T19:36:30.786506,qwen2.5:7b,gpt-4o-mini,1,1,,,,,,,,,
4,1,autonomous,police,Thank you for sharing that. Could you please provide the phone number or email address associated with 'jonesstephanie' on WhatsApp? This will help us better understand what happened.,2025-09-17T19:37:12.737500,qwen2.5:7b,gpt-4o-mini,1,1,"{""scam_incident_date"": ""2025-02-08"", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""LAZADA"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""bank transfer"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": ""jonesstephanie"", ""scam_url_link"": """", ""scam_amount_lost"": 0.0, ""scam_incident_description"": ""On February 8, I saw a ticket for a concert on Lazada and contacted the seller 'jonesstephanie' via WhatsApp. I made a bank transfer but did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""transaction type: bank transfer"", ""beneficiary platform"", ""beneficiary account identifier"", ""approach platform: WHATSAPP"", ""communication platform: WHATSAPP"", ""product type being sold""]}",true,"{""tech_literacy"": {""score"": 0.125, ""level"": ""low"", ""confidence"": 0.6499999999999999}, ""language_proficiency"": {""score"": 0.125, ""level"": ""low"", ""confidence"": 0.625}, ""emotional_state"": {""score"": 0.125, ""level"": ""distressed"", ""confidence"": 0.8}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}","[{""strategy_type"": ""simplify""}, {""strategy_type"": ""step-by-step guidance""}]","{""strategy_type"": ""gentle fact-finding"", ""success_score"": 0.6245625891934576, ""user_profile"": {""tech_literacy"": {""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""level"": ""distressed"", ""confidence"": 0.7}}}",
5,1,autonomous,victim,I no have phone number or email. I just talk on WhatsApp. I no know how this work! Help!,2025-09-17T19:37:14.915298,qwen2.5:7b,gpt-4o-mini,2,1,,,,,,,,,
6,1,autonomous,police,"I'm here to help, take your time. Can you remember any part of the conversation with 'jonesstephanie'? Maybe a message they sent or something else that could give us more context?",2025-09-17T19:37:51.557130,qwen2.5:7b,gpt-4o-mini,2,1,"{""scam_incident_date"": ""2025-02-08"", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""LAZADA"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""bank transfer"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": ""jonesstephanie"", ""scam_url_link"": """", ""scam_amount_lost"": 0.0, ""scam_incident_description"": ""On February 8, I saw a ticket for a concert on Lazada and contacted the seller 'jonesstephanie' via WhatsApp. I made a bank transfer but did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""transaction type: BANK TRANSFER"", ""beneficiary bank platform"", ""beneficiary account identifier"", ""type of product being sold""]}",false,"{""tech_literacy"": {""score"": 0.0625, ""level"": ""low"", ""confidence"": 0.75}, ""language_proficiency"": {""score"": 0.0625, ""level"": ""low"", ""confidence"": 0.7625}, ""emotional_state"": {""score"": 0.0625, ""level"": ""distressed"", ""confidence"": 0.8500000000000001}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}","[{""strategy_type"": ""simplify""}, {""strategy_type"": ""step-by-step guidance""}, {""strategy_type"": ""gentle fact-finding""}]",{},
7,1,autonomous,victim,I ask about ticket. She say pay first. I pay $552.84 to bank. Now no ticket! I scared!,2025-09-17T19:37:55.041605,qwen2.5:7b,gpt-4o-mini,3,1,,,,,,,,,
8,1,autonomous,police,"I understand this is very stressful. Could you please provide the phone number or any other contact information for 'jonesstephanie'? Even if it's just a partial number, that could be helpful.",2025-09-17T19:38:50.142482,qwen2.5:7b,gpt-4o-mini,3,1,"{""scam_incident_date"": ""2025-02-08"", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""LAZADA"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""bank transfer"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": ""jonesstephanie"", ""scam_url_link"": """", ""scam_amount_lost"": 552.84, ""scam_incident_description"": ""On February 8, I saw a ticket for a concert on Lazada and contacted the seller 'jonesstephanie' via WhatsApp. She asked me to pay first before sending the tickets. I made a bank transfer of $552.84 but did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""scam url link"", ""type of product being sold"", ""transaction type"", ""beneficiary bank platform"", ""beneficiary account identifier""]}",false,"{""tech_literacy"": {""score"": 0.03125, ""level"": ""low"", ""confidence"": 0.725}, ""language_proficiency"": {""score"": 0.03125, ""level"": ""low"", ""confidence"": 0.6812499999999999}, ""emotional_state"": {""score"": 0.03125, ""level"": ""distressed"", ""confidence"": 0.875}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}","[{""strategy_type"": ""simplify""}, {""strategy_type"": ""step-by-step guidance""}, {""strategy_type"": ""gentle fact-finding""}]",{},
9,1,autonomous,victim,I no have number! I just talk on WhatsApp. I no understand! I just want my money back!,2025-09-17T19:38:52.020419,qwen2.5:7b,gpt-4o-mini,4,1,,,,,,,,,
10,1,autonomous,police,"I'm here to help you through this. Could you please provide the bank account details where you made the transfer? Even if it's partial information, that could be useful.",2025-09-17T19:39:39.425115,qwen2.5:7b,gpt-4o-mini,4,1,"{""scam_incident_date"": ""2025-02-08"", ""scam_type"": ""ECOMMERCE"", ""scam_approach_platform"": ""LAZADA"", ""scam_communication_platform"": ""WHATSAPP"", ""scam_transaction_type"": ""bank transfer"", ""scam_beneficiary_platform"": """", ""scam_beneficiary_identifier"": """", ""scam_contact_no"": """", ""scam_email"": """", ""scam_moniker"": ""jonesstephanie"", ""scam_url_link"": """", ""scam_amount_lost"": 552.84, ""scam_incident_description"": ""On February 8, I saw a ticket for a concert on Lazada and contacted the seller 'jonesstephanie' via WhatsApp. She asked me to pay first before sending the tickets. I made a bank transfer of $552.84 but did not receive any tickets.""}",true,"{""scam_type"": ""ECOMMERCE"", ""scam_details"": [""scammer moniker"", ""transaction type: BANK TRANSFER"", ""beneficiary bank platform"", ""beneficiary account identifier"", ""type of product being sold""]}",false,"{""tech_literacy"": {""score"": 0.015625, ""level"": ""low"", ""confidence"": 0.8125}, ""language_proficiency"": {""score"": 0.015625, ""level"": ""low"", ""confidence"": 0.765625}, ""emotional_state"": {""score"": 0.015625, ""level"": ""distressed"", ""confidence"": 0.8875}}","{""tech_literacy"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.6}, ""language_proficiency"": {""score"": 0.25, ""level"": ""low"", ""confidence"": 0.65}, ""emotional_state"": {""score"": 0.25, ""level"": ""distressed"", ""confidence"": 0.7}}","[{""strategy_type"": ""simplify""}, {""strategy_type"": ""step-by-step guidance""}, {""strategy_type"": ""gentle fact-finding""}]",{},
