vic_first_name,vic_last_name,vic_nric,vic_sex,vic_dob,vic_nationality,vic_race,vic_occupation,vic_contact_no,vic_email,vic_blk,vic_street,vic_unit_no,vic_postal_code,scam_report_no,scam_incident_date,scam_report_date,scam_type,scam_approach_platform,scam_communication_platform,scam_transaction_type,scam_beneficiary_platform,scam_beneficiary_identifier,scam_contact_no,scam_email,scam_moniker,scam_url_link,scam_amount_lost,scam_incident_description,scam_subcategory,scam_item_involved,scam_item_type,scam_impersonation_type,scam_first_impersonated_entity,scam_first_impersonated_entity_name,scam_second_impersonated_entity,scam_second_impersonated_entity_name,scam_phished_details,scam_use_of_phished_details,scam_pretext_for_phishing
HAO HAO,LIM,S8283863O,MALE,1982-02-14,SINGAPOREAN,CHINESE,MARKETING EXECUTIVE,+6599906820,haohao_lim@gmail.com,442,BEDOK NORTH RD,#02-12,329258,J/20250508/7774,2025-04-17,2025-05-08,ECOMMERCE,CAROUSELL,TELEGRAM,BANK TRANSFER,TRUST,01581449,NA,NA,mariashields,NA,275.37,"I came across a listing for a Taylor Swift concert ticket on Carousell, posted by someone using the moniker 'mariashields'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $275.37 was made to TRUST account 01581449 on 2025-04-17.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,TAYLOR SWIFT CONCERT TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
PRIYA,RAO,T0618451J,FEMALE,2006-08-05,SINGAPOREAN,INDIAN,MARKETING EXECUTIVE,+6591065818,priya_rao@gmail.com,404,GEYLANG RD,#39-60,654816,E/20250315/7102,2025-02-21,2025-03-15,ECOMMERCE,SHOPEE,SHOPEE,BANK TRANSFER,TRUST,13577594,NA,NA,whitecristina,NA,128.93,"I came across a listing for crabs on Shopee, posted by someone using the moniker 'whitecristina'. I contacted the individual through Shopee to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $128.93 was made to TRUST account 13577594 on 2025-02-21.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,CRABS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
MEENA,KUMAR,S7733412H,FEMALE,1977-08-19,SINGAPOREAN,INDIAN,GRAPHIC DESIGNER,+6597427625,meena.kumar@gmail.com,314,KALLANG BAHRU,#38-55,420214,A/20250319/7468,2025-03-06,2025-03-19,ECOMMERCE,LAZADA,LAZADA,BANK TRANSFER,GXS,75003691,NA,NA,gilmorekatherine,NA,490.46,"I came across a listing for an Universal Studios Singapore attraction ticket on Lazada, posted by someone using the moniker 'gilmorekatherine'. I contacted the individual through Lazada to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $490.46 was made to GXS account 75003691 on 2025-03-06.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
SANJAY,SINGH,G7858657R,MALE,1978-12-02,MALAYSIAN,INDIAN,FREELANCER,+6592589751,sanjay_singh@gmail.com,86,WOODLANDS DR,#17-44,753534,A/20250511/7406,2025-05-04,2025-05-11,ECOMMERCE,CAROUSELL,WHATSAPP,BANK TRANSFER,DBS,17800681,NA,NA,andrew64,NA,129.37,"I came across a listing for crabs on Carousell, posted by someone using the moniker 'andrew64'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $129.37 was made to DBS account 17800681 on 2025-05-04.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,CRABS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
JIA YAN,LIM,G0362475Y,FEMALE,2003-10-17,MALAYSIAN,CHINESE,FREELANCER,+6598770838,jiayan.lim@hotmail.com,333,ADMIRALTY DR,#17-27,802258,D/20250626/2385,2025-06-09,2025-06-26,ECOMMERCE,SHOPEE,SHOPEE,BANK TRANSFER,GXS,65577908,NA,NA,ryan31,NA,122.58,"I came across a listing for crabs on Shopee, posted by someone using the moniker 'ryan31'. I contacted the individual through Shopee to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $122.58 was made to GXS account 65577908 on 2025-06-09.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,CRABS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
XIN WEI,LEE,S8493352Z,MALE,1984-01-11,SINGAPOREAN,CHINESE,RETAIL ASSISTANT,+6590848566,xinwei.lee@yahoo.com.sg,815,YISHUN RING RD,#16-17,925206,D/20250428/7863,2025-04-17,2025-04-28,ECOMMERCE,FACEBOOK,FACEBOOK,BANK TRANSFER,UOB,46187234,NA,NA,jrodriguez,NA,703.48,"I posted a listing to sell  a League of Legends game account on Facebook. A buyer under the moniker 'jrodriguez' contacted me through Facebook requesting to purchase the item. 
The buyer promised payment after receiving the item. 
After I delivered the item to the buyer, no payment was received, and the buyer became uncontactable. 
The total amount lost was SGD 703.48.
",FAILURE TO PAY FOR GOODS AND SERVICES,LEAGUE OF LEGENDS GAME ACCOUNT,GAME RELATED,NA,NA,NA,NA,NA,NA,NA,NA
TING YAN,GOH,T0251823G,FEMALE,2002-06-19,SINGAPOREAN,CHINESE,MARKETING EXECUTIVE,+6595902401,tingyan_goh@yahoo.com.sg,729,TOA PAYOH LOR,#18-40,363615,J/20250630/7510,2025-06-24,2025-06-30,ECOMMERCE,LAZADA,WHATSAPP,BANK TRANSFER,SCB,33433339,NA,NA,mgutierrez,NA,1384.61,"I came across a listing for a MacBook Pro on Lazada, posted by someone using the moniker 'mgutierrez'. I contacted the individual through WhatsApp to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $1384.61 was made to SCB account 33433339 on 2025-06-24.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,MACBOOK PRO,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
SOPHIA,GOMES,S7940640S,FEMALE,1979-06-04,SINGAPOREAN,EURASIAN,TEACHER,+6593342306,s.gomes@hotmail.com,403,KALLANG BAHRU,#31-14,348728,E/20250528/2930,2025-05-11,2025-05-28,ECOMMERCE,LAZADA,LAZADA,BANK TRANSFER,CIMB,83174564,NA,NA,arielortega,NA,1341.37,"I came across a listing for a MacBook Pro on Lazada, posted by someone using the moniker 'arielortega'. I contacted the individual through Lazada to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $1341.37 was made to CIMB account 83174564 on 2025-05-11.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,MACBOOK PRO,ELECTRONICS,NA,NA,NA,NA,NA,NA,NA,NA
EMMA,FERNANDEZ,T0319136D,FEMALE,2003-09-02,SINGAPOREAN,EURASIAN,BUSINESS OWNER,+6598436429,emma.fernandez@yahoo.com.sg,951,KALLANG BAHRU,#34-21,159642,J/20250722/2105,2025-07-01,2025-07-22,ECOMMERCE,LAZADA,TELEGRAM,BANK TRANSFER,GXS,44989266,NA,NA,michael26,NA,58.59,"I came across a listing for crabs on Lazada, posted by someone using the moniker 'michael26'. I contacted the individual through Telegram to inquire about the item. 
The seller requested full payment upfront. Subsequently, I made the following transaction:
A transaction of $58.59 was made to GXS account 44989266 on 2025-07-01.
After the payment was made, the item was not delivered. The seller became unresponsive and uncontactable.
",FAILURE TO DELIVER GOODS AND SERVICES,CRABS,FOOD RELATED,NA,NA,NA,NA,NA,NA,NA,NA
YAN YAN,GOH,T0467365O,FEMALE,2004-09-28,SINGAPOREAN,CHINESE,DATA ANALYST,+6594947563,yanyan.goh@yahoo.com.sg,474,PUNGGOL WAY,#39-56,203996,F/20250307/7648,2025-03-03,2025-03-07,ECOMMERCE,FACEBOOK,TELEGRAM,BANK TRANSFER,BOC,02491630,NA,NA,jeffrey29,NA,99.25,"I posted a listing to sell  an Universal Studios Singapore attraction ticket on Facebook. A buyer under the moniker 'jeffrey29' contacted me through Telegram requesting to purchase the item. 
The buyer promised payment after receiving the item. 
After I delivered the item to the buyer, no payment was received, and the buyer became uncontactable. 
The total amount lost was SGD 99.25.
",FAILURE TO PAY FOR GOODS AND SERVICES,UNIVERSAL STUDIOS SINGAPORE ATTRACTION TICKET,TICKETS,NA,NA,NA,NA,NA,NA,NA,NA
